"IDX","IDX_DATETIME","DATA_GUBUN","LOCATION","GATHER_INFO","VALUE_1","VALUE_2","VALUE_3"
"359","2021-01-06 13:00:00","T,H","1154571000",,"28","-5","0"
"360","2021-01-06 13:00:00","T,H","1162071500",,"28","-5","0"
"361","2021-01-06 13:00:00","T,H","1154563000",,"28","-3","0"
"362","2021-01-06 13:00:00","T,H","1156058500",,"28","-3","0"
"363","2021-01-06 13:00:00","T,H","1156063000",,"28","-3","0"
"364","2021-01-06 13:00:00","T,H","1156065000",,"28","-3","0"
"365","2021-01-06 13:00:00","T,H","1156066000",,"28","-3","0"
"366","2021-01-06 13:00:00","T,H","1156067000",,"28","-3","0"
"367","2021-01-06 13:00:00","T,H","1156068000",,"28","-3","0"
"368","2021-01-06 13:00:00","T,H","1156069000",,"28","-3","0"
"369","2021-01-06 13:00:00","T,H","1156070000",,"28","-3","0"
"370","2021-01-06 13:00:00","T,H","1159000000",,"28","-3","0"
"371","2021-01-06 13:00:00","T,H","1159051000",,"28","-3","0"
"372","2021-01-06 13:00:00","T,H","1159052000",,"28","-3","0"
"373","2021-01-06 13:00:00","T,H","1159053000",,"28","-3","0"
"374","2021-01-06 13:00:00","T,H","1159054000",,"28","-3","0"
"375","2021-01-06 13:00:00","T,H","1159055000",,"28","-3","0"
"376","2021-01-06 13:00:00","T,H","1159056000",,"28","-3","0"
"377","2021-01-06 13:00:00","T,H","1159066000",,"28","-3","0"
"378","2021-01-06 13:00:00","T,H","1159067000",,"28","-3","0"
"379","2021-01-06 13:00:00","T,H","1159068000",,"28","-3","0"
"380","2021-01-06 13:00:00","T,H","1162000000",,"28","-3","0"
"381","2021-01-06 13:00:00","T,H","1162052500",,"28","-3","0"
"382","2021-01-06 13:00:00","T,H","1162054500",,"28","-3","0"
"383","2021-01-06 13:00:00","T,H","1162056500",,"28","-3","0"
"384","2021-01-06 13:00:00","T,H","1162057500",,"28","-3","0"
"385","2021-01-06 13:00:00","T,H","1162059500",,"28","-3","0"
"386","2021-01-06 13:00:00","T,H","1162060500",,"28","-3","0"
"387","2021-01-06 13:00:00","T,H","1162061500",,"28","-3","0"
